,Request,Appointment,CarType
0,2022-09-10 07:28,2022-11-27 07:16,compact
1,2022-09-09 18:30,2022-10-15 18:07,class 2 truck
2,2022-09-18 15:20,2022-11-01 13:16,full-size
3,2022-10-20 18:30,2022-11-23 09:21,full-size
4,2022-10-21 14:56,2022-11-23 16:22,medium
5,2022-09-29 18:30,2022-11-07 07:54,class 1 truck
6,2022-10-15 17:07,2022-10-22 18:30,class 2 truck
7,2022-09-06 13:43,2022-11-24 07:48,full-size
8,2022-11-02 18:30,2022-11-24 07:01,class 1 truck
9,2022-09-02 15:35,2022-10-04 07:28,full-size
10,2022-10-13 07:26,2022-10-24 07:07,class 1 truck
11,2022-10-05 07:31,2022-10-26 18:27,class 2 truck
12,2022-09-03 07:28,2022-10-24 07:55,class 1 truck
13,2022-10-09 18:28,2022-10-24 07:26,class 2 truck
14,2022-09-03 07:32,2022-10-06 18:14,full-size
15,2022-10-09 18:16,2022-11-30 14:29,class 2 truck
16,2022-10-22 07:22,2022-11-30 15:00,class 2 truck
17,2022-11-23 09:08,2022-11-23 09:08,medium
18,2022-10-11 09:11,2022-10-11 09:11,medium
19,2022-11-01 07:26,2022-11-13 07:21,medium
20,2022-11-24 09:41,2022-11-24 15:02,full-size
21,2022-09-04 07:24,2022-10-25 12:25,class 2 truck
22,2022-11-19 18:03,2022-11-23 11:02,full-size
23,2022-10-13 17:23,2022-11-04 08:09,full-size
24,2022-10-26 17:57,2022-10-26 17:57,compact
25,2022-10-29 07:10,2022-11-09 07:51,full-size
26,2022-10-15 18:30,2022-10-15 18:30,medium
27,2022-10-07 14:51,2022-10-07 14:51,class 1 truck
28,2022-09-13 15:32,2022-10-27 18:30,compact
29,2022-09-14 07:14,2022-11-07 08:48,compact
30,2022-11-01 18:24,2022-11-01 18:24,medium
31,2022-11-29 07:24,2022-11-29 18:30,class 1 truck
32,2022-11-06 07:19,2022-11-16 07:02,compact
33,2022-11-30 08:55,2022-11-30 08:55,full-size
34,2022-11-27 09:53,2022-11-27 09:53,class 1 truck
35,2022-11-02 14:49,2022-11-05 07:43,compact
36,2022-10-31 08:47,2022-10-31 08:47,compact
37,2022-11-15 14:21,2022-11-18 07:04,compact
38,2022-09-16 10:02,2022-11-23 07:00,class 1 truck
39,2022-11-02 18:14,2022-11-02 18:14,full-size
40,2022-11-12 09:11,2022-11-12 09:11,class 2 truck
41,2022-09-02 07:05,2022-11-03 14:40,compact
42,2022-10-02 17:12,2022-11-09 11:18,class 1 truck
43,2022-10-03 18:16,2022-10-17 07:45,class 1 truck
44,2022-11-02 13:28,2022-11-03 07:30,full-size
45,2022-10-28 12:31,2022-10-28 15:55,class 1 truck
46,2022-09-23 18:30,2022-10-01 18:30,class 1 truck
47,2022-10-08 11:10,2022-11-28 07:42,full-size
48,2022-11-17 11:57,2022-11-30 12:12,medium
49,2022-11-08 07:39,2022-11-20 13:46,full-size
50,2022-11-08 07:42,2022-11-22 13:34,class 1 truck
51,2022-10-12 07:15,2022-11-26 07:55,full-size
52,2022-09-15 07:34,2022-10-13 07:37,class 1 truck
53,2022-11-10 07:10,2022-11-10 07:10,class 2 truck
54,2022-10-16 18:30,2022-10-16 18:30,full-size
55,2022-09-15 09:17,2022-10-08 07:15,class 2 truck
56,2022-11-23 13:12,2022-11-23 13:12,class 1 truck
57,2022-10-11 18:30,2022-10-27 07:46,medium
58,2022-09-16 10:18,2022-10-21 07:31,medium
59,2022-09-05 07:37,2022-10-11 18:05,class 1 truck
60,2022-11-15 08:57,2022-11-15 08:57,compact
61,2022-11-09 16:13,2022-11-09 16:13,full-size
62,2022-10-03 07:17,2022-10-03 07:17,compact
63,2022-11-09 07:39,2022-11-09 07:39,class 2 truck
64,2022-11-20 07:54,2022-11-29 18:30,class 2 truck
65,2022-10-28 14:31,2022-11-17 07:28,compact
66,2022-11-29 09:29,2022-11-29 18:30,full-size
67,2022-10-29 16:33,2022-11-19 16:30,full-size
